0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
86;85.9106103;Kr;Krypton;36;17.3;8.1;;0;;8.2;0;8.2;0.003;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
n;85.4678;Rb;Rubidium;37; ;7.09;; ;;6.32;0.5;6.8;0.38;Rb;37;-0.082;3.201;-0.256;2.398;-0.574;1.608;-1.044;2.973;-0.099;2.003
85;84.9117893;Rb;Rubidium;37;72.17;7.03;; ;;6.2;0.5;6.7;0.48;Rb;37;-0.082;3.201;-0.256;2.398;-0.574;1.608;-1.044;2.973;-0.099;2.003
87;86.9091835;Rb;Rubidium;37;27.83;7.23;; ;;6.6;0.5;7.1;0.12;Rb;37;-0.082;3.201;-0.256;2.398;-0.574;1.608;-1.044;2.973;-0.099;2.003
n;87.62;Sr;Strontium;38; ;7.02;; ;;6.19;0.06;6.25;1.28;Sr;38;-0.012;3.608;-0.161;2.709;-0.465;1.82;-1.657;3.264;-0.23;2.203
84;83.913425;Sr;Strontium;38;0.56;7;;0;;6;0;6;0.87;Sr;38;-0.012;3.608;-0.161;2.709;-0.465;1.82;-1.657;3.264;-0.23;2.203
86;85.9092624;Sr;Strontium;38;9.86;5.67;;0;;4.04;0;4.04;1.04;Sr;38;-0.012;3.608;-0.161;2.709;-0.465;1.82;-1.657;3.264;-0.23;2.203
87;86.9088793;Sr;Strontium;38;7;7.4;; ;;6.88;0.5;7.4;16;Sr;38;-0.012;3.608;-0.161;2.709;-0.465;1.82;-1.657;3.264;-0.23;2.203
88;87.9056143;Sr;Strontium;38;82.58;7.15;;0;;6.42;0;6.42;0.058;Sr;38;-0.012;3.608;-0.161;2.709;-0.465;1.82;-1.657;3.264;-0.23;2.203
n;88.90585;Y;Yttrium;39;;7.75;;1.1;;7.55;0.15;7.7;1.28;Y;39;0.006;4.002;-0.106;3.009;-0.386;2.025;-2.951;3.542;-0.406;2.411
89;88.9058479;Y;Yttrium;39;100;7.75;;1.1;;7.55;0.15;7.7;1.28;Y;39;0.006;4.002;-0.106;3.009;-0.386;2.025;-2.951;3.542;-0.406;2.411
n;91.224;Zr;Zirconium;40; ;7.16;; ;;6.44;0.02;6.46;0.185;Zr;40;0.007;4.422;-0.061;3.329;-0.314;2.245;-2.965;0.56;-0.639;2.63
90;89.9047037;Zr;Zirconium;40;51.45;6.4;;0;;5.1;0;5.1;0.011;Zr;40;0.007;4.422;-0.061;3.329;-0.314;2.245;-2.965;0.56;-0.639;2.63
91;90.905645;Zr;Zirconium;40;11.32;8.7;;-1.08;;9.5;0.15;9.7;1.17;Zr;40;0.007;4.422;-0.061;3.329;-0.314;2.245;-2.965;0.56;-0.639;2.63
92;91.9050401;Zr;Zirconium;40;17.19;7.4;;0;;6.9;0;6.9;0.22;Zr;40;0.007;4.422;-0.061;3.329;-0.314;2.245;-2.965;0.56;-0.639;2.63
94;93.9063158;Zr;Zirconium;40;17.28;8.2;;0;;8.4;0;8.4;0.0499;Zr;40;0.007;4.422;-0.061;3.329;-0.314;2.245;-2.965;0.56;-0.639;2.63
96;95.908276;Zr;Zirconium;40;2.76;5.5;;0;;3.8;0;3.8;0.0229;Zr;40;0.007;4.422;-0.061;3.329;-0.314;2.245;-2.965;0.56;-0.639;2.63
n;92.90638;Nb;Niobium;41;;7.054;;-0.139;;6.253;0.0024;6.255;1.15;Nb;41;-0.013;4.876;-0.028;3.676;-0.248;2.482;-2.197;0.621;-0.957;2.86
93;92.9063775;Nb;Niobium;41;100;7.054;;-0.139;;6.253;0.0024;6.255;1.15;Nb;41;-0.013;4.876;-0.028;3.676;-0.248;2.482;-2.197;0.621;-0.957;2.86
n;95.94;Mo;Molybdenum;42; ;6.715;; ;;5.67;0.04;5.71;2.48;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
92;91.90681;Mo;Molybdenum;42;14.84;6.91;;0;;6;0;6;0.019;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
94;93.9050876;Mo;Molybdenum;42;9.25;6.8;;0;;5.81;0;5.81;0.015;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
95;94.9058415;Mo;Molybdenum;42;15.92;6.91;; ;;6;0.5;6.5;13.1;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
96;95.9046789;Mo;Molybdenum;42;16.68;6.2;;0;;4.83;0;4.83;0.5;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
97;96.906021;Mo;Molybdenum;42;9.55;7.24;;-;;6.59;0.5;7.1;2.5;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
98;97.9054078;Mo;Molybdenum;42;24.13;6.58;;0;;5.44;0;5.44;0.127;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
100;99.907477;Mo;Molybdenum;42;9.63;6.73;;0;;5.69;0;5.69;0.4;Mo;42;-0.063;5.353;-0.012;4.043;-0.191;2.735;-1.825;0.688;-1.416;3.103
n;97.907216;Tc;Technetium;43; ;6.8;; ;;5.8;0.5;6.3;20;Tc;43;-0.153;5.862;-0.017;4.434;-0.145;3.005;-1.59;0.759;-2.205;3.353
98;97.907216;Tc;Technetium;43; ;6.8;; ;;5.8;0.5;6.3;20;Tc;43;-0.153;5.862;-0.017;4.434;-0.145;3.005;-1.59;0.759;-2.205;3.353
n;101.07;Ru;Ruthenium;44; ;7.03;; ;;6.21;0.4;6.6;2.56;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
96;95.907598;Ru;Ruthenium;44;5.5; ;;0;; ;0; ;0.28;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
98;97.905287;Ru;Ruthenium;44;1.9; ;;0;; ;0; ;8;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
99;98.9059393;Ru;Ruthenium;44;12.7; ;; ;; ; ; ;6.9;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
100;99.9042197;Ru;Ruthenium;44;12.6; ;;0;; ;0; ;4.8;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
101;100.9055822;Ru;Ruthenium;44;17; ;; ;; ; ; ;3.3;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
102;101.9043495;Ru;Ruthenium;44;31.6; ;;0;; ;0;144.8;1.17;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
104;103.90543;Ru;Ruthenium;44;18.7; ;;0;; ;0;4.483;0.31;Ru;44;-0.27;6.406;-0.039;4.854;-0.105;3.296;-1.42;0.836;-5.524;3.651
n;102.9055;Rh;Rhodium;45;;5.88;; ;;4.34;0.3;4.6;144.8;Rh;45;-0.424;6.984;-0.083;5.3;-0.077;3.605;-1.287;0.919;-2.649;0.596
103;102.905504;Rh;Rhodium;45;100;5.88;; ;;4.34;0.3;4.6;144.8;Rh;45;-0.424;6.984;-0.083;5.3;-0.077;3.605;-1.287;0.919;-2.649;0.596
n;106.42;Pd;Palladium;46; ;5.91;; ;;4.39;0.093;4.48;6.9;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
102;101.905608;Pd;Palladium;46;1.02;7.7;;0;;7.5;0;7.5;3.4;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
104;103.904035;Pd;Palladium;46;11.14;7.7;;0;;7.5;0;7.5;0.6;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
105;104.905084;Pd;Palladium;46;22.33;5.5;;-2.6;;3.8;0.8;4.6;20;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
106;105.903483;Pd;Palladium;46;27.33;6.4;;0;;5.1;0;5.1;0.304;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
108;107.903894;Pd;Palladium;46;26.46;4.1;;0;;2.1;0;2.1;8.55;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
110;109.905152;Pd;Palladium;46;11.72;7.7;;0;;7.5;0;7.5;0.226;Pd;46;-0.639;7.594;-0.157;5.773;-0.059;3.934;-1.177;1.007;-2.128;0.654
n;107.8682;Ag;Silver;47; ;5.922;; ;;4.407;0.58;4.99;63.3;Ag;47;-0.924;8.235;-0.259;6.271;-0.06;4.282;-1.085;1.101;-1.834;0.717
107;106.905093;Ag;Silver;47;51.83;7.555;;1;;7.17;0.13;7.3;37.6;Ag;47;-0.924;8.235;-0.259;6.271;-0.06;4.282;-1.085;1.101;-1.834;0.717
109;108.904756;Ag;Silver;47;48.17;4.165;;-1.6;;2.18;0.32;2.5;91;Ag;47;-0.924;8.235;-0.259;6.271;-0.06;4.282;-1.085;1.101;-1.834;0.717
n;112.411;Cd;Cadmium;48; ;4.87;-0.7; ;;3.04;3.46;6.5;2520;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
106;105.906458;Cd;Cadmium;48;1.25;5;;0;;3.1;0;3.1;1;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
108;107.904183;Cd;Cadmium;48;0.89;5.4;;0;;3.7;0;3.7;1.1;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
110;109.903006;Cd;Cadmium;48;12.51;5.9;;0;;4.4;0;4.4;11;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
111;110.904182;Cd;Cadmium;48;12.81;6.5;; ;;5.3;0.3;5.6;24;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
112;111.9027572;Cd;Cadmium;48;24.13;6.4;;0;;5.1;0;5.1;2.2;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
113;112.9044009;Cd;Cadmium;48;12.22;-8;-5.73; ;;12.1;0.3;12.4;20600;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
114;113.9033581;Cd;Cadmium;48;28.72;7.5;;0;;7.1;0;7.1;0.34;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
116;115.904755;Cd;Cadmium;48;7.47;6.3;;0;;5;0;5;0.075;Cd;48;-1.303;8.912;-0.416;6.8;-0.079;4.653;-1.005;1.202;-1.637;0.783
n;114.818;In;Indium;49; ;4.065;-0.0539; ;;2.08;0.54;2.62;193.8;In;49;-1.788;9.627;-0.626;7.356;-0.126;5.045;-0.936;1.31;-1.493;0.854
113;112.904061;In;Indium;49;4.3;5.39;;0.017;;3.65;0.000037;3.65;12;In;49;-1.788;9.627;-0.626;7.356;-0.126;5.045;-0.936;1.31;-1.493;0.854
115;114.903878;In;Indium;49;95.7;4.01;-0.0562;-2.1;;2.02;0.55;2.57;202;In;49;-1.788;9.627;-0.626;7.356;-0.126;5.045;-0.936;1.31;-1.493;0.854
n;118.71;Sn;Tin;50; ;6.225;; ;;4.871;0.022;4.892;0.626;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
112;111.904821;Sn;Tin;50;1;6;;0;;4.5;0;4.5;1;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
114;113.902782;Sn;Tin;50;0.7;6.2;;0;;4.8;0;4.8;0.114;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
115;114.903346;Sn;Tin;50;0.4;6;; ;;4.5;0.3;4.8;30;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
116;115.901744;Sn;Tin;50;14.7;5.93;;0;;4.42;0;4.42;0.14;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
117;116.902954;Sn;Tin;50;7.7;6.48;; ;;5.28;0.3;5.6;2.3;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
118;117.901606;Sn;Tin;50;24.3;6.07;;0;;4.63;0;4.63;0.22;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
119;118.903309;Sn;Tin;50;8.6;6.12;; ;;4.71;0.3;5;2.2;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
120;119.9021966;Sn;Tin;50;32.4;6.49;;0;;5.29;0;5.29;0.14;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
122;121.9034401;Sn;Tin;50;4.6;5.74;;0;;4.14;0;4.14;0.18;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
124;123.9052746;Sn;Tin;50;5.6;5.97;;0;;4.48;0;4.48;0.133;Sn;50;-2.401;10.38;-0.888;7.943;-0.194;5.459;-0.873;1.424;-1.378;0.93
n;121.76;Sb;Antimony;51; ;5.57;; ;;3.9;0.007;3.9;4.91;Sb;51;-3.194;11.166;-1.214;8.557;-0.287;5.894;-0.816;1.546;-1.284;1.01
121;120.903818;Sb;Antimony;51;57.3;5.71;;-0.05;;4.1;0.0003;4.1;5.75;Sb;51;-3.194;11.166;-1.214;8.557;-0.287;5.894;-0.816;1.546;-1.284;1.01
123;122.9042157;Sb;Antimony;51;42.7;5.38;;-0.1;;3.64;0.001;3.64;3.8;Sb;51;-3.194;11.166;-1.214;8.557;-0.287;5.894;-0.816;1.546;-1.284;1.01
n;127.6;Te;Tellurium;52; ;5.8;;-;;4.23;0.09;4.32;4.7;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
120;119.90402;Te;Tellurium;52;0.096;5.3;;0;;3.5;0;3.5;2.3;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
122;121.9030471;Te;Tellurium;52;2.6;3.8;;0;;1.8;0;1.8;3.4;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
123;122.904273;Te;Tellurium;52;0.908;-0.05;-0.116;-2.04;;0.002;0.52;0.52;418;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
124;123.9028195;Te;Tellurium;52;4.816;7.96;;0;;8;0;8;6.8;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
125;124.9044247;Te;Tellurium;52;7.14;5.02;;-0.26;;3.17;0.008;3.18;1.55;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
126;125.9033055;Te;Tellurium;52;18.95;5.56;;0;;3.88;0;3.88;1.04;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
128;127.9044614;Te;Tellurium;52;31.69;5.89;;0;;4.36;0;4.36;0.215;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
130;129.9062228;Te;Tellurium;52;33.8;6.02;;0;;4.55;0;4.55;0.29;Te;52;-4.267;11.995;-1.63;9.203;-0.418;6.352;-0.772;1.675;-1.212;1.096
n;126.90447;I;Iodine;53;;5.28;;1.58;;3.5;0.31;3.81;6.15;I;53;-5.852;12.85;-2.147;9.885;-0.579;6.835;-0.726;1.812;-1.144;1.187
127;126.904468;I;Iodine;53;100;5.28;;1.58;;3.5;0.31;3.81;6.15;I;53;-5.852;12.85;-2.147;9.885;-0.579;6.835;-0.726;1.812;-1.144;1.187
n;131.293;Xe;Xenon;54; ;4.92;;3.04;;2.96;0; ;23.9;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
124;123.9058958;Xe;Xenon;54;0.1; ;;0;; ;0; ;165;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
126;125.904269;Xe;Xenon;54;0.09; ;;0;; ;0; ;3.5;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
128;127.9035304;Xe;Xenon;54;1.91; ;;0;; ;0; ;8;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
129;128.9047795;Xe;Xenon;54;26.4; ;; ;; ; ; ;21;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
130;129.9035079;Xe;Xenon;54;4.1; ;;0;; ;0; ;26;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
131;130.9050819;Xe;Xenon;54;21.2; ;; ;; ; ; ;85;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
132;131.9041545;Xe;Xenon;54;26.9; ;;0;; ;0; ;0.45;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
134;133.9053945;Xe;Xenon;54;10.4; ;;0;; ;0; ;0.265;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
136;135.90722;Xe;Xenon;54;8.9; ;;0;; ;0; ;0.26;Xe;54;-8.133;11.933;-2.812;10.608;-0.783;7.348;-0.684;1.958;-1.084;1.284
n;132.90545;Cs;Caesium;55;;5.42;;1.29;;3.69;0.21;3.9;29;Cs;55;-10.742;12.919;-3.652;11.382;-1.022;7.904;-0.644;2.119;-1.029;1.391
133;132.905447;Cs;Caesium;55;100;5.42;;1.29;;3.69;0.21;3.9;29;Cs;55;-10.742;12.919;-3.652;11.382;-1.022;7.904;-0.644;2.119;-1.029;1.391
n;137.327;Ba;Barium;56; ;5.07;; ;;3.23;0.15;3.38;1.1;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
130;129.90631;Ba;Barium;56;0.11;-3.6;;0;;1.6;0;1.6;30;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
132;131.905056;Ba;Barium;56;0.1;7.8;;0;;7.6;0;7.6;7;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
134;133.904503;Ba;Barium;56;2.42;5.7;;0;;4.08;0;4.08;2;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
135;134.905683;Ba;Barium;56;6.59;4.67;; ;;2.74;0.5;3.2;5.8;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
136;135.90457;Ba;Barium;56;7.85;4.91;;0;;3.03;0;3.03;0.68;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
137;136.905821;Ba;Barium;56;11.23;6.83;; ;;5.86;0.5;6.4;3.6;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
138;137.905241;Ba;Barium;56;71.7;4.84;;0;;2.94;0;2.94;0.27;Ba;56;-11.46;9.981;-4.832;12.164;-1.334;8.46;-0.613;2.282;-0.983;1.5
n;138.9055;La;Lanthanum;57; ;8.24;; ;;8.53;1.13;9.66;8.97;La;57;-12.135;3.565;-6.683;12.937;-1.716;9.036;-0.588;2.452;-0.942;1.615
138;137.907107;La;Lanthanum;57;0.09;8;; ;;8;0.5;8.5;57;La;57;-12.135;3.565;-6.683;12.937;-1.716;9.036;-0.588;2.452;-0.942;1.615
139;138.906348;La;Lanthanum;57;99.91;8.24;;3;;8.53;1.13;9.66;8.93;La;57;-12.135;3.565;-6.683;12.937;-1.716;9.036;-0.588;2.452;-0.942;1.615
n;140.116;Ce;Cerium;58; ;4.84;; ;;2.94;0.001;2.94;0.63;Ce;58;-9.574;3.843;-8.388;11.953;-2.17;9.648;-0.564;2.632;-0.904;1.735
136;135.90714;Ce;Cerium;58;0.19;5.8;;0;;4.23;0;4.23;7.3;Ce;58;-9.574;3.843;-8.388;11.953;-2.17;9.648;-0.564;2.632;-0.904;1.735
138;137.905986;Ce;Cerium;58;0.25;6.7;;0;;5.64;0;5.64;1.1;Ce;58;-9.574;3.843;-8.388;11.953;-2.17;9.648;-0.564;2.632;-0.904;1.735
140;139.905434;Ce;Cerium;58;88.48;4.84;;0;;2.94;0;2.94;0.57;Ce;58;-9.574;3.843;-8.388;11.953;-2.17;9.648;-0.564;2.632;-0.904;1.735
142;141.90924;Ce;Cerium;58;11.08;4.75;;0;;2.84;0;2.84;0.95;Ce;58;-9.574;3.843;-8.388;11.953;-2.17;9.648;-0.564;2.632;-0.904;1.735
n;140.90765;Pr;Praseodymium;59;;4.58;;-0.35;;2.64;0.015;2.66;11.5;Pr;59;-7.817;4.13;-12.457;6.285;-2.939;10.535;-0.53;2.845;-0.859;1.873
141;140.907648;Pr;Praseodymium;59;100;4.58;;-0.35;;2.64;0.015;2.66;11.5;Pr;59;-7.817;4.13;-12.457;6.285;-2.939;10.535;-0.53;2.845;-0.859;1.873
n;144.24;Nd;Neodymium;60; ;7.69;; ;;7.43;9.2;16.6;50.5;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
142;141.907719;Nd;Neodymium;60;27.16;7.7;;0;;7.5;0;7.5;18.7;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
143;142.90981;Nd;Neodymium;60;12.18;14;;21;;25;55;80;337;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
144;143.910083;Nd;Neodymium;60;23.8;2.8;;0;;1;0;1;3.6;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
145;144.912569;Nd;Neodymium;60;8.29;14;; ;;25;5;30;42;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
146;145.913112;Nd;Neodymium;60;17.19;8.7;;0;;9.5;0;9.5;1.4;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
148;147.916889;Nd;Neodymium;60;5.75;5.7;;0;;4.1;0;4.1;2.5;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
150;149.920887;Nd;Neodymium;60;5.63;5.3;;0;;3.5;0;3.5;1.2;Nd;60;-7.486;4.427;-11.016;9.874;-3.431;10.933;-0.535;3.018;-0.842;1.995
n;144.912744;Pm;Promethium;61;;12.6;;3.2;;20;1.3;21.3;168.4;Pm;61;-6.891;4.741;-12.122;3.627;-4.357;11.614;-0.53;3.225;-0.818;2.135
145;144.912744;Pm;Promethium;61;;12.6;;3.2;;20;1.3;21.3;168.4;Pm;61;-6.891;4.741;-12.122;3.627;-4.357;11.614;-0.53;3.225;-0.818;2.135
n;150.36;Sm;Samarium;62;0.8;-1.65;;;;0.422;39;39;5922;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
144;143.911995;Sm;Samarium;62;3.1;-3;;0;;1;0;1;0.7;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
147;146.914893;Sm;Samarium;62;15.1;14;;11;;25;143;39;57;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
148;147.914818;Sm;Samarium;62;11.3;-3;;0;;1;0;1;2.4;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
149;148.91718;Sm;Samarium;62;13.9;-19.2;-11.7;31.4;-10.3;63.5;137;200;42080;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
150;149.917271;Sm;Samarium;62;7.4;14;;0;;25;0;25;104;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
152;151.919728;Sm;Samarium;62;26.6;-5;;0;;3.1;0;3.1;206;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
154;153.922205;Sm;Samarium;62;22.6;9.3;;0;;11;0;11;8.4;Sm;62;-6.429;5.073;-9.616;3.883;-5.696;12.32;-0.533;3.442;-0.798;2.281
